~a	 ~ a |
~kee~saayenaha	 ~ k e e ~ s a a y e n a h a |
~kee~saa	 ~ k e e ~ s a a |
pUapedi	 p U a p e d i |
~keeka'a	 ~ k e e k a ' a |
du'tuwa'a	 d u ' t u w a ' a |
dihawa'aye	 d i h a w a ' a y e |
tUasa	 t U a s a |
doko,	 d o k o , |
mani	 m a n i |
wa'ikUna	 w a ' i k U n a |
~wehei	 ~ w e h e i |
sayedo	 s a y e d o |
ka'me	 k a ' m e |
mededo	 m e d e d o |
~yUmU	 ~ y U m U |
mahkakedi	 m a h k a k e d i |
dUtedo	 d U t e d o |
wa'anaha	 w a ' a n a h a |
tonaha	 t o n a h a |
palisUteye	 p a l i s U t e y e |
~sio~soayeta	 ~ s i o ~ s o a y e t a |
~si'o~so,	 ~ s i ' o ~ s o , |
te	 t e |
yoaropU	 y o a r o p U |
bU'dUa	 b U ' d U a |
~so'obaropU	 ~ s o ' o b a r o p U |
tu'ayenaha	 t u ' a y e n a h a |
keanaha,	 k e a n a h a , |
nUmUke	 n U m U k e |
me'na	 m e ' n a |
tole	 t o l e |
keobodo	 k e o b o d o |
~o'ota	 ~ o ' o t a |
dUteitanaha	 d U t e i t a n a h a |
nii	 n i i |
dU'te~saayenaha	 d U ' t e ~ s a a y e n a h a |
~io	 ~ i o |
yU'U	 y U ' U |
phako	 p h a k o |
~i'ya,	 ~ i ' y a , |
duhkuaye	 d u h k u a y e |
dU'tewe~gU	 d U ' t e w e ~ g U |
dU'tewee	 d U ' t e w e e |
~sa'a	 ~ s a ' a |
tomehe	 t o m e h e |
tu'ali	 t u ' a l i |
nii,	 n i i , |
~yuhsomaye	 ~ y u h s o m a y e |
maniedaye	 m a n i e d a y e |
diepe	 d i e p e |
~sayahali	 ~ s a y a h a l i |
,	 , |
~yuhso	 ~ y u h s o |
yU'duodUado	 y U ' d u o d U a d o |
ni	 n i |
maaye	 m a a y e |
~so'okUno	 ~ s o ' o k U n o |
yoakUnopUnaha	 y o a k U n o p U n a h a |
o!	 o ! |
topU,	 t o p U , |
~sayali	 ~ s a y a l i |
ihiaye	 i h i a y e |
maine	 m a i n e |
ba'keo~kaayenaha	 b a ' k e o ~ k a a y e n a h a |
~o'owa'ado	 ~ o ' o w a ' a d o |
omoka,	 o m o k a , |
omopiada'poto	 o m o p i a d a ' p o t o |
ta	 t a |
kU!	 k U ! |
~ke'nono	 ~ k e ' n o n o |
bohkasaka'aye	 b o h k a s a k a ' a y e |
akU!	 a k U ! |
yU'Ule	 y U ' U l e |
ba'kekã~ga,	 b a ' k e k ã ~ g a , |
a'lido	 a ' l i d o |
niiaya	 n i i a y a |
wehewio	 w e h e w i o |
ma'ye	 m a ' y e |
~tUawiodo	 ~ t U a w i o d o |
~kUta~ye'e~saka'aye	 ~ k U t a ~ y e ' e ~ s a k a ' a y e |
buu~ya	 b u u ~ y a |
sopeka	 s o p e k a |
~wihawi'doka'a	 ~ w i h a w i ' d o k a ' a |
wi'idoa'tanaha	 w i ' i d o a ' t a n a h a |
ya'awe	 y a ' a w e |
dekeoka'aye	 d e k e o k a ' a y e |
ya'aweka'a	 y a ' a w e k a ' a |
omasaa	 o m a s a a |
wa'aye	 w a ' a y e |
akUUUU!	 a k U U U U ! |
ihieda	 i h i e d a |
dii	 d i i |
~ko'no~kuaye	 ~ k o ' n o ~ k u a y e |
tide	 t i d e |
~ko'ano	 ~ k o ' a n o |
~ya,	 ~ y a , |
putiadowa'a	 p u t i a d o w a ' a |
akU	 a k U |
niinaha	 n i i n a h a |
~o'osanaha	 ~ o ' o s a n a h a |
aka	 a k a |
~yatubUdUado	 ~ y a t u b U d U a d o |
ma'yeeta,	 m a ' y e e t a , |
a'li	 a ' l i |
omokapedenaha	 o m o k a p e d e n a h a |
~na	 ~ n a |
pUtiado	 p U t i a d o |
wa'a~kayUa	 w a ' a ~ k a y U a |
bUkUo	 b U k U o |
wi'e~ka'a	 w i ' e ~ k a ' a |
ba'keka'a	 b a ' k e k a ' a |
~yatubUdUa	 ~ y a t u b U d U a |
me'no,	 m e ' n o , |
to	 t o |
pehta	 p e h t a |
a'ta~ka	 a ' t a ~ k a |
koyatado	 k o y a t a d o |
petale	 p e t a l e |
~yapuawa'ayeta	 ~ y a p u a w a ' a y e t a |
simiwaku	 s i m i w a k u |
bu'ibUrUtadonaha	 b u ' i b U r U t a d o n a h a |
~yapua	 ~ y a p u a |
wa'anaha,	 w a ' a n a h a , |
tUhodo	 t U h o d o |
basiedadi	 b a s i e d a d i |
buu,	 b u u , |
kaminope~gU	 k a m i n o p e ~ g U |
ba'kedido	 b a ' k e d i d o |
saadii	 s a a d i i |
wiha	 w i h a |
a'riye	 a ' r i y e |
pe'e~gU,	 p e ' e ~ g U , |
saa	 s a a |
puninaha	 p u n i n a h a |
ne	 n e |
ke'no,	 k e ' n o , |
~o'osaa	 ~ o ' o s a a |
wa'a~ka'dU	 w a ' a ~ k a ' d U |
yU'Ua	 y U ' U a |
niidinaha	 n i i d i n a h a |
aka!	 a k a ! |
mU'U	 m U ' U |
~weheoa'taayanaha	 ~ w e h e o a ' t a a y a n a h a |
nimi	 n i m i |
niidi	 n i i d i |
~wehemasiedali	 ~ w e h e m a s i e d a l i |
numino,	 n u m i n o , |
~kUnUonota,	 ~ k U n U o n o t a , |
ihikami	 i h i k a m i |
niidi,	 n i i d i , |
~wehemasieda	 ~ w e h e m a s i e d a |
booli	 b o o l i |
a'likodo	 a ' l i k o d o |
aU	 a U |
~yumukee	 ~ y u m u k e e |
dU'te	 d U ' t e |
dekeo,	 d e k e o , |
~aliati'po,	 ~ a l i a t i ' p o , |
dekeo	 d e k e o |
~siodekesoUta	 ~ s i o d e k e s o U t a |
ba'ketUasalita	 b a ' k e t U a s a l i t a |
ba'ke,	 b a ' k e , |
(wetidi)	 ( w e t i d i ) |
ba'kegU	 b a ' k e g U |
wehewionaha	 w e h e w i o n a h a |
tu'tUado	 t u ' t U a d o |
wehewio...	 w e h e w i o . . . |
~yuu	 ~ y u u |
wihatali	 w i h a t a l i |
wihatha	 w i h a t h a |
~o'o	 ~ o ' o |
wihawii'pehagUnaha	 w i h a w i i ' p e h a g U n a h a |
di'i~phi	 d i ' i ~ p h i |
dU'tenaha	 d U ' t e n a h a |
~osaye	 ~ o s a y e |
~weheiya	 ~ w e h e i y a |
~wehe	 ~ w e h e |
~naalito	 ~ n a a l i t o |
~saa	 ~ s a a |
wa'etidi	 w a ' e t i d i |
ojodo	 o j o d o |
sayegU	 s a y e g U |
mUsale	 m U s a l e |
wa'ali	 w a ' a l i |
kihtide,	 k i h t i d e , |
khiti	 k h i t i |
ya'uaha	 y a ' u a h a |
-	 - |
topUnota	 t o p U n o t a |
ihide	 i h i d e |
kayena	 k a y e n a |
akano	 a k a n o |
kihti	 k i h t i |
yeitha	 y e i t h a |
yU'U~gU'U	 y U ' U ~ g U ' U |
mali	 m a l i |
mianole	 m i a n o l e |
õsa	 õ s a |
miano	 m i a n o |
bUhkUna	 b U h k U n a |
ye'ede	 y e ' e d e |
tU'o	 t U ' o |
yenatana	 y e n a t a n a |
taha	 t a h a |
nibUna	 n i b U n a |
tikinata	 t i k i n a t a |
mahkana	 m a h k a n a |
õ	 õ |
bahtopUletha	 b a h t o p U l e t h a |
(professor)	 ( p r o f e s s o r ) |
bodo	 b o d o |
sinitugUntha	 s i n i t u g U n t h a |
ma	 m a |
Unkankido	 U n k a n k i d o |
ya'uya	 y a ' u y a |
nigUletha	 n i g U l e t h a |
tikina	 t i k i n a |
yautikh~e	 y a u t i k h ~ e |
ya'unatha	 y a ' u n a t h a |
niha	 n i h a |
tikido	 t i k i d o |
akãkido	 a k ã k i d o |
tUolikido	 t U o l i k i d o |
ya'utuasadota	 y a ' u t u a s a d o t a |
tikido~gU	 t i k i d o ~ g U |
pahkUdosa	 p a h k U d o s a |
yU	 y U |
pahkU	 p a h k U |
sa	 s a |
nidi	 n i d i |
yUle	 y U l e |
yautuasadota	 y a u t u a s a d o t a |
sayena	 s a y e n a |
ali	 a l i |
ihimape	 i h i m a p e |
sayei	 s a y e i |
mUhsale	 m U h s a l e |
Ukãno	 U k ã n o |
nikehoUtha	 n i k e h o U t h a |
pehkU	 p e h k U |
wUakoalikido,	 w U a k o a l i k i d o , |
nUhkU	 n U h k U |
tinikoa	 t i n i k o a |
thiaye	 t h i a y e |
wa'awa'ayeto	 w a ' a w a ' a y e t o |
akã	 a k ã |
dehko	 d e h k o |
ñamikuhno	 ñ a m i k u h n o |
wa'i	 w a ' i |
yo'yedikido	 y o ' y e d i k i d o |
wa'a	 w a ' a |
koedUhkasa	 k o e d U h k a s a |
ñamika	 ñ a m i k a |
peãtatuhutaha	 p e ã t a t u h u t a h a |
saye	 s a y e |
wa'awa'aye	 w a ' a w a ' a y e |
naha	 n a h a |
pehkaye	 p e h k a y e |
mahaleno	 m a h a l e n o |
wayeto,	 w a y e t o , |
i'tia	 i ' t i a |
bu'a	 b u ' a |
waa	 w a a |
bohkaye	 b o h k a y e |
pano	 p a n o |
yehse	 y e h s e |
bu'do	 b u ' d o |
ihido	 i h i d o |
koayUdUa	 k o a y U d U a |
mede	 m e d e |
bu'doado	 b u ' d o a d o |
nUnUtimaka	 n U n U t i m a k a |
pi'atale	 p i ' a t a l e |
pohtota	 p o h t o t a |
waUtaha	 w a U t a h a |
wa'ayetaha	 w a ' a y e t a h a |
meoUhpUa	 m e o U h p U a |
makhano	 m a k h a n o |
timededo	 t i m e d e d o |
naha,	 n a h a , |
ma'ata	 m a ' a t a |
wa'adukume	 w a ' a d u k u m e |
ma'a	 m a ' a |
maleno	 m a l e n o |
tota	 t o t a |
tUogUn	 t U o g U n |
yoado	 y o a d o |
bUhsUaye	 b U h s U a y e |
ahke	 a h k e |
sUa	 s U a |
wahke	 w a h k e |
kã	 k ã |
yabekido	 y a b e k i d o |
ihialito	 i h i a l i t o |
bUhsUlikido	 b U h s U l i k i d o |
tUokãyeto,	 t U o k ã y e t o , |
wa'ayeto	 w a ' a y e t o |
pali	 p a l i |
ihidona	 i h i d o n a |
buaaa	 b u a a a |
maagã	 m a a g ã |
maha	 m a h a |
dUhka	 d U h k a |
bua	 b u a |
tina	 t i n a |
ahkea	 a h k e a |
nUhUkUmpUle	 n U h U k U m p U l e |
yabedU	 y a b e d U |
kastañasa	 k a s t a ñ a s a |
bahudUdu	 b a h u d U d u |
ihietimipe	 i h i e t i m i p e |
bUhUye	 b U h U y e |
pahkali	 p a h k a l i |
dUkatidU	 d U k a t i d U |
pahkale	 p a h k a l e |
ie	 i e |
ahkãkido	 a h k ã k i d o |
ahpekidope	 a h p e k i d o p e |
iayado	 i a y a d o |
niaye,	 n i a y e , |
a'petiye	 a ' p e t i y e |
tiale,	 t i a l e , |
tia	 t i a |
yabedia	 y a b e d i a |
kastañale	 k a s t a ñ a l e |
poado	 p o a d o |
niãye	 n i ã y e |
iãkãyeto	 i ã k ã y e t o |
sho	 s h o |
yowado	 y o w a d o |
boa	 b o a |
pehkUo	 p e h k U o |
puhtiado	 p u h t i a d o |
ye	 y e |
pehsale	 p e h s a l e |
iãduhku	 i ã d u h k u |
mahlenkeayeto	 m a h l e n k e a y e t o |
dU'se	 d U ' s e |
ahudopU	 a h u d o p U |
bohkado	 b o h k a d o |
bohkasayato	 b o h k a s a y a t o |
diepU	 d i e p U |
tohtetiã	 t o h t e t i ã |
mahlema	 m a h l e m a |
diha	 d i h a |
waye	 w a y e |
pu...dohke	 p u . . . d o h k e |
kea	 k e a |
iãma	 i ã m a |
iãduhku,	 i ã d u h k u , |
ñano	 ñ a n o |
wamahangU	 w a m a h a n g U |
mUgã	 m U g ã |
iaduUta	 i a d u U t a |
pehsa	 p e h s a |
medi	 m e d i |
iã	 i ã |
duhku	 d u h k u |
mahlekeaye	 m a h l e k e a y e |
yUdUa	 y U d U a |
ehsa~gU	 e h s a ~ g U |
nanaleã	 n a n a l e ã |
nanale	 n a n a l e |
ye~gU	 y e ~ g U |
sho!	 s h o ! |
mU'Ule	 m U ' U l e |
needaha	 n e e d a h a |
mU'u	 m U ' u |
aba~ke	 a b a ~ k e |
ni,	 n i , |
sata	 s a t a |
tha	 t h a |
wehe	 w e h e |
omamayeto	 o m a m a y e t o |
oma	 o m a |
ahpekina	 a h p e k i n a |
wawe	 w a w e |
koeka	 k o e k a |
mUhsanle	 m U h s a n l e |
õta	 õ t a |
kamutUtha	 k a m u t U t h a |
wado	 w a d o |
ahpe	 a h p e |
kudua	 k u d u a |
bohkayetha	 b o h k a y e t h a |
waikUnaleta	 w a i k U n a l e t a |
sõpU	 s õ p U |
ihikoya	 i h i k o y a |
yoadopU,	 y o a d o p U , |
saninidi	 s a n i n i d i |
mehe	 m e h e |
makaku	 m a k a k u |
barigudu	 b a r i g u d u |
bUhsuka	 b U h s u k a |
tUokãyeto	 t U o k ã y e t o |
(...)	 ( . . . ) |
alikidota	 a l i k i d o t a |
pahidikido	 p a h i d i k i d o |
pahi~kulikido	 p a h i ~ k u l i k i d o |
mahsi,	 m a h s i , |
iãñe	 i ã ñ e |
pehkayea	 p e h k a y e a |
tidole	 t i d o l e |
iãno	 i ã n o |
ehsayeto	 e h s a y e t o |
madaye....madaye	 m a d a y e . . . . m a d a y e |
dohkale	 d o h k a l e |
alikina	 a l i k i n a |
yaia	 y a i a |
ihikohati	 i h i k o h a t i |
pihtika	 p i h t i k a |
nemakã	 n e m a k ã |
yu!	 y u ! |
ñatihado	 ñ a t i h a d o |
mahkamale	 m a h k a m a l e |
mayeto	 m a y e t o |
bohkedaye	 b o h k e d a y e |
bohkeda	 b o h k e d a |
wihsia	 w i h s i a |
naha...ti(ki)do	 n a h a . . . t i ( k i ) d o |
ahkede	 a h k e d e |
omamedikido	 o m a m e d i k i d o |
kõakaye	 k õ a k a y e |
de!	 d e ! |
waU	 w a U |
nia.	 n i a . |
naiã	 n a i ã |
nie	 n i e |
yoeda	 y o e d a |
timipe.	 t i m i p e . |
wayeto!	 w a y e t o ! |
bahsuedaye	 b a h s u e d a y e |
no	 n o |
wUtaliba	 w U t a l i b a |
bohkasaye,	 b o h k a s a y e , |
yabekina	 y a b e k i n a |
ñanale	 ñ a n a l e |
maline	 m a l i n e |
(iãmeõ),	 ( i ã m e õ ) , |
bohtopUle	 b o h t o p U l e |
pi'asamipe	 p i ' a s a m i p e |
tikina,	 t i k i n a , |
ahpetale	 a h p e t a l e |
maa	 m a a |
bohkegU	 b o h k e g U |
wihsiagU	 w i h s i a g U |
iãnU	 i ã n U |
bohkasagU	 b o h k a s a g U |
iãnUnU	 i ã n U n U |
ka'meaye	 k a ' m e a y e |
wa'ayeto!	 w a ' a y e t o ! |
tUokano,	 t U o k a n o , |
nopohto	 n o p o h t o |
ihiya	 i h i y a |
tUokã~gU	 t U o k ã ~ g U |
menesiã,	 m e n e s i ã , |
yesekina	 y e s e k i n a |
wialido	 w i a l i d o |
pehsakoa	 p e h s a k o a |
yabe	 y a b e |
ñimi,	 ñ i m i , |
ñimi	 ñ i m i |
surua	 s u r u a |
menesiã	 m e n e s i ã |
ahpeye	 a h p e y e |
kenokuhe	 k e n o k u h e |
duubodolide	 d u u b o d o l i d e |
i'ayeto	 i ' a y e t o |
Uha	 U h a |
abado	 a b a d o |
tido,	 t i d o , |
yoameyape	 y o a m e y a p e |
(...	 ( . . . |
wa'ayeta)	 w a ' a y e t a ) |
koe	 k o e |
ni!	 n i ! |
dohka	 d o h k a |
to,	 t o , |
tina,	 t i n a , |
duhke	 d u h k e |
me	 m e |
bohkasaye	 b o h k a s a y e |
wa'ikUna~gU	 w a ' i k U n a ~ g U |
mahsa	 m a h s a |
bahti	 b a h t i |
ya'uaye	 y a ' u a y e |
tinale	 t i n a l e |
su'ti	 s u ' t i |
wihtitihano	 w i h t i t i h a n o |
Uhsa	 U h s a |
wamahli	 w a m a h l i |
ña(..)	 ñ a ( . . ) |
niã	 n i ã |
wU'U	 w U ' U |
menata	 m e n a t a |
Uhsã	 U h s ã |
dohka,	 d o h k a , |
wa'ado	 w a ' a d o |
pohto	 p o h t o |
wa'aUta	 w a ' a U t a |
totha	 t o t h a |
wialidope	 w i a l i d o p e |
bUhkUdo	 b U h k U d o |
topU	 t o p U |
U'sepali	 U ' s e p a l i |
tha,	 t h a , |
ehsa	 e h s a |
iaye	 i a y e |
wa'ayoakuhno	 w a ' a y o a k u h n o |
wa'a,	 w a ' a , |
ihia	 i h i a |
mUhnano	 m U h n a n o |
bahuaye	 b a h u a y e |
tohaya	 t o h a y a |
toha	 t o h a |
yegU	 y e g U |
mahkano	 m a h k a n o |
kameaye	 k a m e a y e |
ihi~gU	 i h i ~ g U |
ihiaga	 i h i a g a |
bohkali	 b o h k a l i |
ihimipe	 i h i m i p e |
dehkope	 d e h k o p e |
kaapeU	 k a a p e U |
tohasa	 t o h a s a |
kañe	 k a ñ e |
wali	 w a l i |
ihidi	 i h i d i |
mahaledikido	 m a h a l e d i k i d o |
pehkakUhU	 p e h k a k U h U |
wUagU	 w U a g U |
sayeka(li)	 s a y e k a ( l i ) |
nekã	 n e k ã |
sãha	 s ã h a |
boli	 b o l i |
meno	 m e n o |
dUhsali	 d U h s a l i |
ihimedi	 i h i m e d i |
kenopUle	 k e n o p U l e |
ãsa	 ã s a |
kuhno	 k u h n o |
ihigUna	 i h i g U n a |
neã	 n e ã |
waboati	 w a b o a t i |
nimaye	 n i m a y e |
pahitihado,	 p a h i t i h a d o , |
pehkUotihado	 p e h k U o t i h a d o |
iãti	 i ã t i |
du'u	 d u ' u |
(iempede)	 ( i e m p e d e ) |
nu'mialiti	 n u ' m i a l i t i |
ihikamayeti,	 i h i k a m a y e t i , |
mahaledido	 m a h a l e d i d o |
ya'uli	 y a ' u l i |
mUhsa	 m U h s a |
ninosati	 n i n o s a t i |
a'li,	 a ' l i , |
(	 ( |
)	 ) |
onça	 o n ç a |
ya'uduhkuye,	 y a ' u d u h k u y e , |
buhtiati	 b u h t i a t i |
medeye	 m e d e y e |
a'lina	 a ' l i n a |
yedapokã	 y e d a p o k ã |
yUpe	 y U p e |
onsa	 o n s a |
(kihti	 ( k i h t i |
diita	 d i i t a |
ya'u)	 y a ' u ) |
yUdUoUtaha	 y U d U o U t a h a |
nimiali	 n i m i a l i |
boati	 b o a t i |
mahpe	 m a h p e |
topunuta	 t o p u n u t a |
ihide-é	 i h i d e - é |
so	 s o |
isso.	 i s s o . |
	  |
Cornelio	 C o r n e l i o |
mali,tido	 m a l i , t i d o |
nimedehe,yotopUle	 n i m e d e h e , y o t o p U l e |
ninibehe	 n i n i b e h e |
bo'do,no	 b o ' d o , n o |
yoye	 y o y e |
pohka	 p o h k a |
bo'keda	 b o ' k e d a |
...sa	 . . . s a |
kameã	 k a m e ã |
nino	 n i n o |
iõ	 i õ |
dohko	 d o h k o |
Uhseaye	 U h s e a y e |
a'liana	 a ' l i a n a |
bUhkUnapU	 b U h k U n a p U |
ke'nono	 k e ' n o n o |
yedi	 y e d i |
ke'noano,	 k e ' n o a n o , |
ke'notihado	 k e ' n o t i h a d o |
ke'noli	 k e ' n o l i |
kohpegã,	 k o h p e g ã , |
menogã	 m e n o g ã |
tiale	 t i a l e |
yukeokoyate	 y u k e o k o y a t e |
yupuhtiaye	 y u p u h t i a y e |
tidagã,	 t i d a g ã , |
yu'uuu	 y u ' u u u |
widisõ	 w i d i s õ |
ba	 b a |
taha,ti	 t a h a , t i |
da	 d a |
kanotidi	 k a n o t i d i |
ihimede	 i h i m e d e |
taha,	 t a h a , |
kanoyekuhunoye	 k a n o y e k u h u n o y e |
ompu	 o m p u |
bUayoli	 b U a y o l i |
naha.	 n a h a . |
bUayo...	 b U a y o . . . |
yuhkU	 y u h k U |
dUhpUgã	 d U h p U g ã |
ihikoyato	 i h i k o y a t o |
ona	 o n a |
auñe	 a u ñ e |
dUhkasa	 d U h k a s a |
koyati	 k o y a t i |
a'lepe	 a ' l e p e |
tU~ãpua	 t U ~ ã p u a |
dUhpUgãpU	 d U h p U g ã p U |
bUañe	 b U a ñ e |
koyato	 k o y a t o |
dUhteaye	 d U h t e a y e |
ãhu~,	 ã h u ~ , |
iadUna	 i a d U n a |
onta	 o n t a |
tUãli	 t U ã l i |
be'to	 b e ' t o |
siholi	 s i h o l i |
dagã	 d a g ã |
be'togã,	 b e ' t o g ã , |
meni	 m e n i |
be'togã	 b e ' t o g ã |
be'togãpU	 b e ' t o g ã p U |
ãhuyedi	 ã h u y e d i |
siõdohkoli	 s i õ d o h k o l i |
tidagã	 t i d a g ã |
tUña	 t U ñ a |
duhkukali	 d u h k u k a l i |
dapU	 d a p U |
sata,	 s a t a , |
teõ,	 t e õ , |
wahsõ	 w a h s õ |
nini	 n i n i |
dUhkasali	 d U h k a s a l i |
alidape,	 a l i d a p e , |
dohte	 d o h t e |
dehkeo	 d e h k e o |
kakoyato	 k a k o y a t o |
ó,	 ó , |
wihiti	 w i h i t i |
maã,	 m a ã , |
wehedehkemo	 w e h e d e h k e m o |
tidole.	 t i d o l e . |
Sa'kUa!	 S a ' k U a ! |
Wehemo	 W e h e m o |
dohkokã	 d o h k o k ã |
...tido	 . . . t i d o |
pihikono	 p i h i k o n o |
alepe	 a l e p e |
pihikonoti	 p i h i k o n o t i |
tidope	 t i d o p e |
wa'ipe	 w a ' i p e |
dahputi	 d a h p u t i |
dUhkasa,	 d U h k a s a , |
duhse	 d u h s e |
bohkoU	 b o h k o U |
wihedaye	 w i h e d a y e |
na	 n a |
peye	 p e y e |
yeaye	 y e a y e |
kõã	 k õ ã |
iõdohkodo	 i õ d o h k o d o |
bahsi	 b a h s i |
nientidU	 n i e n t i d U |
yU'U,	 y U ' U , |
tope	 t o p e |
yuye	 y u y e |
Peye!	 P e y e ! |
U~kã	 U ~ k ã |
dUhka.	 d U h k a . |
sali	 s a l i |
Ti	 T i |
sayedi	 s a y e d i |
a'lia.	 a ' l i a . |
Ne	 N e |
ahpekido	 a h p e k i d o |
yo	 y o |
ihidikidogã	 i h i d i k i d o g ã |
wa'dogU~	 w a ' d o g U ~ |
du'eli	 d u ' e l i |
a'lia	 a ' l i a |
na.	 n a . |
kono	 k o n o |
bo'dogã	 b o ' d o g ã |
dihkepU	 d i h k e p U |
wa'do,	 w a ' d o , |
sakUa.	 s a k U a . |
Saña	 S a ñ a |
duhkuli	 d u h k u l i |
nidi.	 n i d i . |
Sa	 S a |
diita.	 d i i t a . |
Meõeda	 M e õ e d a |
tihakãye	 t i h a k ã y e |
punlita	 p u n l i t a |
Mali	 M a l i |
yoyedia	 y o y e d i a |
yedia	 y e d i a |
ahpeta	 a h p e t a |
wihtia	 w i h t i a |
wa'ya	 w a ' y a |
wa'do	 w a ' d o |
madaye	 m a d a y e |
punlitale	 p u n l i t a l e |
ke'noano	 k e ' n o a n o |
yomo	 y o m o |
tia.	 t i a . |
malingU~	 m a l i n g U ~ |
mahape	 m a h a p e |
ãhsU~kahsa	 ã h s U ~ k a h s a |
Tido	 T i d o |
dehsu	 d e h s u |
iado	 i a d o |
dohkoli	 d o h k o l i |
Duhse	 D u h s e |
ihi	 i h i |
nemoma	 n e m o m a |
TinapUa	 T i n a p U a |
peñali	 p e ñ a l i |
mahsale~	 m a h s a l e ~ |
poye	 p o y e |
waaye	 w a a y e |
apeye	 a p e y e |
Saye	 S a y e |
ia,	 i a , |
poo	 p o o |
mUãñe	 m U ã ñ e |
poope	 p o o p e |
yeye	 y e y e |
YU'U	 Y U ' U |
tUotugUmpena	 t U o t u g U m p e n a |
boya	 b o y a |
katale	 k a t a l e |
(fim	 ( f i m |
narração	 n a r r a ç ã o |
Dudu)	 D u d u ) |
A'toakãpU	 A ' t o a k ã p U |
nimiba.	 n i m i b a . |
To	 T o |
diro	 d i r o |
noho,	 n o h o , |
noõ	 n o õ |
nikã,	 n i k ã , |
wahso	 w a h s o |
nikã	 n i k ã |
nipetiro	 n i p e t i r o |
mahsiti	 m a h s i t i |
presu	 p r e s u |
a'ti	 a ' t i |
dapU,atopU	 d a p U , a t o p U |
ñehamahã	 ñ e h a m a h ã |
tohero	 t o h e r o |
a'topU	 a ' t o p U |
nimiba	 n i m i b a |
nee~	 n e e ~ |
tohi	 t o h i |
a'to	 a ' t o |
kU'U~	 k U ' U ~ |
baa	 b a a |
mahaka	 m a h a k a |
a'tigU	 a ' t i g U |
we	 w e |
tUkU	 t U k U |
wa'sa	 w a ' s a |
mikeoha	 m i k e o h a |
tarararara	 t a r a r a r a r a |
....	 . . . . |
a'toakã	 a ' t o a k ã |
nirõ	 n i r õ |
wei	 w e i |
mahsiti,	 m a h s i t i , |
wUre	 w U r e |
bU'ye	 b U ' y e |
inventakUna	 i n v e n t a k U n a |
malipUa	 m a l i p U a |
mehõ	 m e h õ |
atipere	 a t i p e r e |
añuno	 a ñ u n o |
tuhtuakhU	 t u h t u a k h U |
ninosa	 n i n o s a |
tuhtuadU,	 t u h t u a d U , |
tuhtuadU	 t u h t u a d U |
wadota	 w a d o t a |
tuhtuedagUna	 t u h t u e d a g U n a |
weduakaleta	 w e d u a k a l e t a |
atirota	 a t i r o t a |
nisapU...UU~...wehesake	 n i s a p U . . . U U ~ . . . w e h e s a k e |
nUhkõ	 n U h k õ |
nitiniti,	 n i t i n i t i , |
niti...ihieda	 n i t i . . . i h i e d a |
siteõpe	 s i t e õ p e |
yabeyedo	 y a b e y e d o |
atirota?	 a t i r o t a ? |
Ãã,	 Ã ã , |
sõõpUle	 s õ õ p U l e |
wehedioya	 w e h e d i o y a |
...	 . . . |
atigapUre	 a t i g a p U r e |
ato	 a t o |
nitiha	 n i t i h a |
too...yotihadopena	 t o o . . . y o t i h a d o p e n a |
naha...	 n a h a . . . |
atiepe	 a t i e p e |
ati	 a t i |
dare	 d a r e |
toho	 t o h o |
weita	 w e i t a |
atie	 a t i e |
oya	 o y a |
hã	 h ã |
oosa	 o o s a |
puiape...	 p u i a p e . . . |
buisa...buipU	 b u i s a . . . b u i p U |
niãti	 n i ã t i |
wegU	 w e g U |
ñasa	 ñ a s a |
nU'kõ...	 n U ' k õ . . . |
ããã..	 ã ã ã . . |
a'topema	 a ' t o p e m a |
keoro	 k e o r o |
a'tipe	 a ' t i p e |
kerãr~e	 k e r ã r ~ e |
a´to	 a ´ t o |
...dehko..	 . . . d e h k o . . |
~iati	 ~ i a t i |
añurõ	 a ñ u r õ |
~U...ona	 ~ U . . . o n a |
pronto..	 p r o n t o . . |
~UU'U	 ~ U U ' U |
~iati...a'to	 ~ i a t i . . . a ' t o |
a'toakama	 a ' t o a k a m a |
be'togale~,	 b e ' t o g a l e ~ , |
be'tore	 b e ' t o r e |
siepe	 s i e p e |
kU~	 k U ~ |
baamahaka	 b a a m a h a k a |
bUawehe	 b U a w e h e |
...ñadio	 . . . ñ a d i o |
sie	 s i e |
ñadioya	 ñ a d i o y a |
mianona	 m i a n o n a |
sahã	 s a h ã |
hããã	 h ã ã ã |
iadole	 i a d o l e |
yudo	 y u d o |
Ãã	 Ã ã |
niña	 n i ñ a |
ã'ã,	 ã ' ã , |
wamUã	 w a m U ã |
sããkã,	 s ã ã k ã , |
pronto	 p r o n t o |
keodo,wii~makã	 k e o d o , w i i ~ m a k ã |
me'no	 m e ' n o |
sUkU,	 s U k U , |
wolo	 w o l o |
malipU	 m a l i p U |
tita	 t i t a |
inventado	 i n v e n t a d o |
ihidode	 i h i d o d e |
kamepUle	 k a m e p U l e |
ihie...yehseagU	 i h i e . . . y e h s e a g U |
weheno	 w e h e n o |
bahsuedamipe...ããã	 b a h s u e d a m i p e . . . ã ã ã |
kuaniaye	 k u a n i a y e |
~UkUyegU	 ~ U k U y e g U |
onsapU	 o n s a p U |
dadadio	 d a d a d i o |
onsapU...pa	 o n s a p U . . . p a |
ta'pu	 t a ' p u |
tiro	 t i r o |
